Drug Name,Condition,Rating,Content
Terbinafine,"Onychomycosis, Toenail",1,"""I took Terbinafine for only 4 days but experienced loss of taste, loss of appetite, constant tiredness, and painful swollen lymph nodes. Blood pressure dropped and lost 8 pounds. Went to urgent care and had CBC and urinalysis. Everything came back fine and Dr. Confirmed the reaction to medicine. I still feel lousy after stopping Terbinafine a week ago. Don't risk it, awful medicine! Yuck!"""
Clonazepam,AnxietyOff-label,8,"""I've dealt anxiety since I was a child but never sought help until it became very serious and my job and relationships were being affected. I was prescribed clonazepam and instructed to only take it when necessary. It has worked wonderfully for me and for once in a long time, I actually felt genuinely calm and relaxed, and my perspectives towards things that would bother me on a normal day changed completely (I was able to rationalise things better and get over problems quickly). The first hour or so after taking clonazepam is torture though as I would usually feel very drowsy and dazed. After that, as long as I eat properly, the drowsiness goes away and the pill will work wonders."""
Methylphenidate,ADHD,9,"""About 3 months ago, I got prescribed methylphenidate to treat my adult ADHD. I'm a 36 year old guy and have had problems with keeping jobs, the ability to concentrate and regulating emotions for most of my life. 

I started with two or three doses of 5mg a day. This drug works extremely well when working. You simply do not tire and are always sharp as a tack. You'll also be more confident (sometimes bordering on cocky) and talkative. 

Think of ADHD as a spectrum. On the left you have the lazy slob who is forgetful, scatter-brained and plays video games the whole day in their mom's basement. On the right you have Leonardo DiCaprio in Wolf of Wall Street.

Most people are right in the middle, but, ADHD-people are way over to the left. This drug is a godsend because it levels the playing field. 

I'm enjoying my new job now, I'm confident, learn fast and the intense emotions I used to experience, are gone."""
Lyrica,Fibromyalgia,2,"""Doc put me on Lyrica 50 mg twice a day.  The first two weeks were AMAZING, I was doing things I haven't been able to do in many years.  HOWEVER, let me just say IT DOES CAUSE WEIGHT GAIN AND MINE WAS NOT FROM OVEREATING.  In fact, I was hardly hungry at all and when I do eat, it is usually fruits and veggies.  I was even working out every day. The last day I took Lyrica (I only took it for one month), it made me so freaking miserable, I went home in tears.  My stomach swelled up like I was malnourished and every time I would bend over, I would throw up water or whatever I had just put on my stomach.  It was AWFUL!  In a month, I gained over 10 lbs. NOT COOL!"""
Oxycontin,Pain,9,"""I suffer from degenerative disc disease.  For years I was unable to live a normal functioning life.  My Doc had me taking 4/10mg Norcos & 4/30mg Morphine pills daily.  While they gave me some relief, I was still in a great deal of pain and felt like I was taking pills all the time. I spoke to my Doc about my continuing pain and the constant pill popping with minimal relief.  She told me about Oxycontin.  She said that she didn't normally prescribe it and only had one other patient on it but, I could try it to see if it gave me any better relief.  I take 3/40mg Oxycontins daily now and the difference in my life is amazing.  I hate the way people treat me when they learn that I am taking Oxy.  It works wonders so get off our backs."""
Junel,Birth Control,1,"Microgestin Fe 1/20 (ethinyl estradiol / norethindrone)""This birth control is horrible I been on my period for two weeks and it’s horrible. I started on this pill when my last cycle begin and I haven’t came off yet. I stopped taking these pills and I will never take these pills again. After this horrible experience I will never get back on birth control pills again"""
Levonorgestrel,Emergency Contraception,4,"Aftera (levonorgestrel)""I am so thankful I am not pregnant and it did the job, but this pill seriously messed up my cycle and had me so anxious for about two months. I wasn’t due to get my period for another two weeks at the time I took the pill. Six days later, I started bleeding, and it lasted about four days. The first two days it was maybe enough to fill tampons, but the other days it was very light, like only there when I wiped. Fast forward to when my period was scheduled to come - still no period. I ended up getting my period ten days late, but I could have sworn I was pregnant. I had been having creamy white discharge for about two weeks and had been feeling bloated with cramps and headaches - this NEVER happens to me! My period is here now, but it’s  significantly lighter than it normally is. I have taken Plan B once before in the past, and I never had any problems at all. Ladies, please spend the extra $10, or even better, get on regular birth control! Also, stay off Google to stay sane."""
Quetiapine,InsomniaOff-label,7,"""Seroquil worked great, more than great but there always seems to be a catch isn't there?  First, I was not on any other meds and was prescribed 200 mg's out of the gate, which was too much (I'm 5'7, 120 lbs) So I cut it way back and my sweet spot with no hangover was 25 mgs. Took it for nearly two years with no complaints. Here's the catch, the weight gain thing, it crept up on me pretty slow I hardly noticed. I don't own a scale, my eating habits never changed. First 5 lbs, hardly noticed, then 10lb, chalked it up to my age (45). Then I looked pregnant and nothing fit and my entire body from my face to ankles looked bloated. When I ran out of my script I stopped and 4 months later I was back to my normal weight. Sad to see it go.."""
Phentermine,Weight Loss (Obesity/Overweight),9,"Adipex-P (phentermine)""I started this medication on 3/4/16. Starting weight was 208. After a week of taking it, I've lost 10lbs. I weigh now, is 199. This pill works! Ive been eating small snacks and working out. So far, the only problems I've experienced is; dry mouth, dizziness, restlessness and slight tremors for the first few days. I'll hive an update, in about a month."""
Bisacodyl,Constipation,10,"Dulcolax (bisacodyl)""I have been using dulcolax for a couple of years. I only use it if I haven't been to the loo for more than 5 days and if I have the next day to be at home. I take two tablets around 7pm and when I wake in the morning it completely clears me out. Yes it does give some form of diarrhea but I'm willing to accept this for a hour or so as it makes you feel so much better. It does give you tummy ache and cramps and you do feel like the pain will never go away but once you've been to the toilet it goes, it can't last forever. You have to accept a bit of tummy ache/pain if you are pooing out days worth of poop. Love Dulcolax. It's a strong tablet, but gets the job done."""
Zofran ODT,Nausea/Vomiting,10,"""Had kidneys stone. Took pain meds for it. Got super nauseous at night. Took zofran, and within 10 minutes I was not nauseated at all. Amazing medicine."""
Tretinoin,Acne,7,"""I am a 14 year old girl who has been suffering from acne since I was 11 years old, about 2 months ago I went to a dermatologist, and she prescribed me tretinoin cream .05. My acne has always been small to average sized pimples on my upper cheeks, chin, and some on my forehead. Now my acne is in bigger bumped forms, and it has formed all around my cheeks and some on my jaw line. My confidence level has dropped completely. I have scheduled a new derma app to see whats up, but from reading these positive reviews telling me to stick it out, that is what I am going to do. Goodluck to any tretinoin cream users!"""
Advil,Headache,9,"""Always keep this stuff around. When I catch a real bad headache, this is lifesaving. Tylenol doesn't seem to do it for me. Advil goes to work. I no longer need oxygen tanks with Advil. Four of these and I can get back to life or sleep. Really, really comes in handy."""
Mounjaro,"Diabetes, Type 2",9,"""Just took the first 7.5 mg dose. This is week 9 as I started with 2.5 mg, then 4 mg for 4 weeks. I started at 283 lbs. Now about 270 lbs. Symptoms were constipation for the first few days and as the strength increased so did the nausea. Never got unbearable and the doctor prescribed meds to take when it gets intense, usually the day after the injection. Definitely curbs appetite and makes you feel full faster.
Haven't done any exercise other than normal routine mobility. Had two A1c over 6.5  before I started and haven't had bloodwork since. I am 64 years old and have heart disease, prostate issues, sleep apnea, and high blood pressure, among other things so getting my weight down is no longer an option but a necessity."""
Amoxicillin,Dental Abscess,1,"""For me it causes severe cramping pains on both sides of my lower abdomen extending downward to the back of the thighs. It has a colitis like symptom, and it is very painful."""
Wellbutrin,Major Depressive Disorder,10,"""Works much better than Paxil.  Wellbutrin makes me feel normal.  I do take it with Abilify for my mood disorder.  It’s been a life & marriage saver!"""
Junel,Birth Control,9,"Lo Loestrin Fe (ethinyl estradiol / norethindrone)""I originally took this pill to regulate my periods and obviously prevent pregnancy. Before taking any sort of birth control, I had PMS with moderate to heavy periods. Ever since this pill, my period is where the blue pills stop and my period is so light, no cramps, no PMS. But I have realized myself gaining a little weight. My breasts definitely seem a little bigger, so used to a B cup, so when they get bigger- I know the difference. This pill has done a good job. I haven't had sex without a condom while being on this birth control. I see less acne though."""
Aripiprazole,Bipolar Disorder,10,"Abilify Maintena (aripiprazole)""This is the first time actually taking the injection and I honestly rather continue taking it"""
Medroxyprogesterone,Birth Control,9,"Depo Provera (medroxyprogesterone)""For the first few months, I bled everyday. After 2-3 injections, the bleeding stopped for the most part, with occasional random bleeding now and then, and light bleeding near the time I was due for my next shot.

Yes, you WILL very likely experience the ""breakthrough bleeding"" side effect, and it can be annoying having to use pads/tampons constantly, but if you can deal with that, it is a great birth control solution.

I have smoked cigarettes while using Depo. This caused an increase in bleeding when I regularly smoked. I noticed after 3-4 injections when my bleeding lessened to almost a stop, if I smoked cigarettes, I would bleed later. So if you smoke, this might affect how much/often you bleed."""
Shingrix,"Herpes Zoster, Prophylaxis",1,"""I received the first shot Tuesday evening 7-16-19 around 7pm at my pharmacy. The shot barely hurt. 2 hr later I noticed pain in my arm and that my eyes were burning. I decided to take ibuprofen and go to bed. Woke up during the night feeling feverish and ill. Did not feel well enough to go to work. Around noon fever spiked to 102 and chills started. Nauseous and bad headache. Took more ibuprofen and Motrin but fever would not come down for about 4 hrs. Considered going to the ER as my symptoms were so bad. Then the fever slowly came down to 99. Diarrhea and feeling very ill and  exhausted. 
Today is Thursday and my fever is 99. Muscle aches so bad I can hardly walk. Huge red hot knot 3 inches at injection site. 
I am better than yesterday but I feel like this is going to take some time to recover from this vaccine. 
My husband contracted shingles a few weeks ago that is why I got the vaccine as a preventative/ I wish I had not as this has been terrible."""
Victoza,"Diabetes, Type 2",10,"""I was started on this after discovering that my lab work showed I was pre diabetes. I am a 65 yr old female A1c was 6.2 fast glucose 130. I am overweight much of which came about over the last say 7 years when I became almost totally immobilized with degenerative joint disease. Meds helped immensely control pain. After only 2.2 wks on Victoza I can say I now I have lost lbs and started to gain more energy and eat much less. Prior to Victoza,I was hungry very soon after eating meals. I now eat much less with the Victoza slowing my digestion. I take 1.2 mg and have zero side effects. Also have positive  female family history of cardiac issues. So it 's a win win so far and hope to continue all positivity !!!!"""
Paroxetine,Depression,10,"Paxil (paroxetine)""Before I was on Paxil,I just felt sad all the time. I felt like crying a lot,I could hardly get through work, I had a loss of interest in activities, I lacked energy, plus most of the other symptoms for major depression (except for thoughts of suicide), I had..and this went on for almost a few years until I finally had enough and sought out the help of a doctor. The doctor prescribed Paxil 20mg once a day, and I swear I have never felt better in my life. I feel like I finally have my life back, and I don't feel sad all the time. Most importantly,I feel like myself again"""
Temazepam,Insomnia,6,"Restoril (temazepam)""only gives me 4-6 hrs. of sleep per night.  Was hoping for 7-8.  Take 15 mg. with 10 mg. Melatonin and .25 mg. Xanax at bedtime"""
Clarithromycin,Upper Respiratory Tract Infection,6,"""I was prescribed this antibiotic having had flu like symptoms with a high fever.  Within an hour of taking it I had a horrid bitter bile taste in my mouth then felt as if I had been put on waltzer at the funfair and spun around 100 times, a terrible and restless night, the second night was slightly better and I'm about to embark on my third night, feeling extremely weak and listless - but as of this morning 36 hours later I can breathe to the bottom of my lungs for the first time in about 15 years. A tip for vile taste - slice a Granny Smith apple and nibble when needed. I'm going to try and grit my teeth and and complete the course as I had forgotten what it is like to properly fill my lungs"""
Trelegy Ellipta,COPD,1,"""I used this med for months.  All it did was create a sore mouth and throat and it dried my mouth out as well.  I noticed that it aggravated my paralyzed larynx causing it to be a constant battle trying to clear the junk off my throat.  It gave me pneumonia type symptoms that I had to treat multiple times with antibiotics. I finally took myself off the medication but it seems the effects are long lasting or forever at this point after 4 months."""
Trazodone,InsomniaOff-label,10,"""Puts me right to sleep."""
Spironolactone,AcneOff-label,10,"""I realize that spirolactone works differently for everyone, and the time frame it takes to work depends on the individual and the severity of acne, but within one month and a half my acne had 75% vanished. Now at two months I've seen a 90-95% clearance of my breakouts. I used to have several breakouts a day so every night I was popping 3-10 pimples. My acne was not cystic (not in the dermis) but I had several painful papules and pustules, and lots of jawline comedones that would erupt into painful pus-filled blemishes. I noticed the jawline clearing up first and within a couple weeks, my cheeks began clearing up, and now I have two old lesions healing on my face from over a week ago. I no longer breakout every single day with painful pimples, and I no longer have to wear lots of makeup to leave my house. In the recent months my diet has been poor and I haven't been working out or drinking enough water, but this medication STILL cleared up my acne in my case."""
Yaz 28,Premenstrual Dysphoric Disorder,4,"Yaz (drospirenone / ethinyl estradiol)""For me, Yaz was terrible, I couldn't stop crying, I couldn't do any of my work, I could barely pull myself out of bed."""
Tamiflu,Influenza,10,"""I have had case of severe flu a few times before but this time I went straight to the doctor to to try Tamiflu.  While the flu usually made me miserable and feverish for 4 days and weak for a few days more, I felt pretty good after about a 1 1/2 days and was ready for work on the 3rd day.  I will always go for the Tamiflu in the future.  In my case, when my face feels flushed, I have a lack of appetite, ache in my neck and back and a slight fever, it is time to act.  You need to start Tamilfu as soon as you see the first signs.  It is great!"""
Vilazodone,AnxietyOff-label,7,"""Less sleepiness. I feel more energetic and am focusing better.  My function is better. Not depressed or down even with 10 mg a day. However, It does not cover my anxiety and an hour after I take it, I start having worries and butterflies.  It kind of makes me tense, but definitely targets depression and psychomotor retardation."""
Sertraline,Social Anxiety Disorder,7,"""My rating is based on when I took this drug previously, it really helped me but at that time I felt no side effects at all. The ones I did feel (loss of appetite, insomnia) were tolerable for me. I stopped taking the meds when I felt better (weaned off slowly). However, now I feel anxious again months later, I’ve started taking the drug again and it is driving me insane. I’m on my 4th day taking this medicine, and the side effects are not like before. I have severe anxiety and can’t sleep at night, the nausea is also horrific. I’m hoping these subside soon as I know the drug helped me before. I have noticed I’ve been given a different brand this time, maybe that is why the side effects are different. I just hope it gets easier soon as I have no support system around me to help me get through it. Reading these reviews have been comforting :)"""
Duloxetine,Back Pain,9,"Cymbalta (duloxetine)""Took about 3 weeks for this medicine to kick in before I noticed anything. When it did, the pain was intense for a couple of days but I stuck with it hoping things got better. They did! I was able to stand longer, walk longer, sit longer, and lay on my side all without intense pain. The pain was still there, but it made dealing with the pain more tolerable. I've been on this medicine for about 10 months now but dealing with this terrible pain for nearly 3 years. I've tried just about every medicine available and this medicine with Elavil and Oxycontin/Oxycodone  works like magic. I now use Cymbalta with Elavil and Morphine and have had no issues. """
Plan B,Emergency Contraception,10,"""I told myself if it worked I was going to write a review, because I know how scared I was and I came here for comfort. I had unprotected sex with a guy I wasn't even dating, around the beginning of July. I took the pill less than 12 hours after the incident happened. A week after I took the pill, I got a period for around 5 days, heavy, brown, but with no cramps. It described implant bleeding almost to closely, so I grew even more scared!!! I had slight breast tenderness around the time aswell but nothing other than that. I just got my period yesterday, almost a full month after I missed my original period date. DON'T freak out if your period is more than a week late, mine was nearing 4 weeks late before it finally came. Stay hopeful! ❤️"""
Fluconazole,Fungal InfectionsOff-label,6,"""Wow. I landed in the ER with the sorest of sore throats. I have a systemic yeast infection. I'm taking fluconazole 100mg for a month this medication is no joke! It makes me insanely dizzy, my legs feel as if they will fail. No appetite whatsoever. Brain fog, confusion I'm going to have to bite the bullet until I'm finished in 2 weeks. The only plus side of the coin is that it is clearing up the Thrush."""
Diclofenac,Muscle Pain,9,"Voltaren (diclofenac)""Used Voltaren on mild tendonitis of the elbow. Not only did it immediately reduce the pain, but it seems to be helping to speed up healing, when I am not using it, the pain seems to be getting progressively less severe"""
Provigil,Narcolepsy,9,"""Pros: Works well keeping me alert, no significant downer when drug wears off, can be used on an as needed basis. Cons: EXPENSIVE!"""
Lurasidone,Schizoaffective DisorderOff-label,10,"""This medicine is a miracle pill. I use this as my 2nd antipsychotic med and it has helped so much in only 1 week."""
Baclofen,Trigeminal NeuralgiaOff-label,10,"""Baclofen reduces the chronic pain of trigeminal neuralgia to a great extent. For me, it mutes the pain to a tolerable level. It does not reduce my ability to think clearly, as occurred with the use of various anti-seizure medications, i.e. Trileptil, Dilantin, Neurontin, etc.  For me, it does not yet appear to have a reduced effect despite taking it over a long period of time.  The side-effects for me are relatively benign and, in some cases, interesting.  Higher doses cause drowsiness.  Lower doses include the following side effects,
- Subtle muscle relaxation
- Increased muscle tone
- Surprising endurance and lack of fatigue at high-levels of physical activity
- Absence of soreness following the aforementioned physical activity"""
Sertraline,Depression,1,"""I have recently experienced a most unusual muscle reaction when I try to go to sleep. It's like my legs twist and contort, and I have no control over them.  I recently reviewed side effects of Sertraline and noted this on several occasions in their warnings."""
Hydroxyzine,Sedation,8,"""I currently take 50mg about an hour or so before I’d like to fall asleep for my chronic insomnia. While it’s not a strong sedation, anything is better than nothing. 
I have had almost no side effects with this drug which is unlike the other medications I have tried. 
The only minor issue I’ve experienced is if I don’t get at least eight hours of sleep in, I’ll wake up a little extra fatigued. I would recommend taking this medication when you know you’re going to be able to sleep for a while. 
Hope this helps. ☺️"""
Vistaril,Anxiety,3,"""I was prescribed Vistaril to help with anxiety and sleep following opiate withdrawals. It did little, if anything. Original dose was 50 mg, later raised to 100 mg. It did reduce the crazy sneezing I went through.

I got far better results for sleep from OTC Benedryl and melatonin."""
Azithromycin,Sinusitis,1,"Zithromax (azithromycin)""Took away my ear infection but gave me. Nausea, vomiting, loss of appetite, heart palpitations, anxiety, shortness of breath, diarrhea, dizziness, etc... So not worth it. I was less sick before starting this medicine."""
Propranolol,Performance AnxietyOff-label,10,"""Was very anxious and became depressed after my father was diagnosed terminally ill. I started a new job which didn't help with the stress. Was having often panic attacks. Now I feel amazing. I now have my life back. Without this I think I would of had to be hospitalised. Thank goodness. Life is good again."""
Keflex,Skin or Soft Tissue Infection,8,"""Keflex 500 mg 3 times a day is slowly but surely getting rid of my folliculitis. It took about 3 days for the infection to stop oozing, another 2 days later it has almost completely dried up. No discernible side effects for me."""
Wellbutrin XL,Depression,10,"""I have battled depression and anhedonia my whole life. I have always tried to manage it through diet, therapy and exercise. I had reached the point where I could find no joy and I was simply existing. Life became incredibly arduous and, quite literally, painful. I had zero interest in any activities, often forcing myself to participate in the things that were expected of me. The only thing that I truly enjoyed was sleeping.
I finally saw my doctor and, after a long chat, we settled on Wellbutrin because I really “ wanted to want to do things. “
Fast forward to today, 4 weeks of taking Wellbutrin XL. My life has completely changed for the better. My mood is stable, I have more energy than I ever expected to, my confidence has returned after decades of struggling, I no longer feel sad in social situations and I have become more fit because I am inclined to exercise every day. I am enjoying all of the things that I struggled to get through for so long without side effects."""
Trazodone,InsomniaOff-label,1,"""Have been fighting insomnia for years. Previously on Lunesta then Ambien because of insurance approval. Ambien was no longer working after a year and I came to the conclusion it was due to dependency and I wanted to quit. My doc suggested trazodone as it is non habit forming. Tried 50mg and it knocked me out through the night and most of the next day. Horrible hangover and dizzy feeling.  I layed off for a few days then cut the pill in half to 25mg and was not at all effective. Next night took 3/4 of the tab and again knocked me out and zonked most of the next day. Think I'm giving on this. """
Buprenorphine & Naloxone,Opioid Use Disorder,9,"Zubsolv (buprenorphine / naloxone)""I have been on Zubsolv for 3 days now because my insurance won't cover Suboxone (which I was on previously for over a year, my insurance company got switched) my Dr told me about Zubsolv and I gave it a try (and because its covered thru my insurance.) I see/feel NO DIFFERENT than from when I was on the Suboxone. I personally feel that Zubsolv works better for me. But everyone's body is different. The ONLY thing I DON'T like about the Zubsolv is the taste. It is a VERY STRONG MENTHOL TASTE, BUT THE TABLETS DISSOLVE VERY QUICKLY!"""
Xiidra,Dry Eye Disease,1,"""Is there a class action law suit? I just got out of the ER from a chemical burn. Used these drops with air optics contacts and all was fine but when I switched to Bausch and Lomb it caused a chemical burn in my eyes and throat (I guess where we get that nasty taste when we use them is it dripping in the back of the throat). I’m in a lot of pain and have medical bills now and have to see a specialist bc they are infected. I waited 1 hour between using the drops and putting in the contacts just like it said to and I have done with the other brand."""
Paroxetine,Postmenopausal Symptoms,9,"Paxil (paroxetine)""Still having hot flashes at 73.
Used Prempro for 30 years but doctors would no longer 
Script it. 4 months now on 10mg Paxil and loving it. Had some minor GI issues but nothing serious. I'm happy without hot flashes and I seem to have a better out"""
Remicade,Psoriatic Arthritis,5,"""I have been experiencing stomach pain and constipation and feeling irritated easily and more grouchy."""
Lexapro,Generalized Anxiety Disorder,9,"""I have been taking Lexapro for about 2 months now and I notice an immediate change. I suffered from bad anxiety attacks where I would have them two or three times a night. I was miserable by the time I got prescribed Lexapro. My doctor initially prescribed me Xanax to get me through until my antidepressants start working because they don't have that initial ""kick"" like Xanax has.  I was happy that I had the Lexapro to help me with my depression, and more so anxiety. The only side effects I have noticed is weight gain and lowered sex drive. I think those are nothing compared to feeling depressed. I would recommend this antidepressant."""
Terbinafine,"Onychomycosis, Toenail",10,"Lamisil (terbinafine)""I found terbinafine to be much more effective than the very expensive medications I had previously tried, and it was MUCH cheaper.  The fungus was not completely gone by the end of the 3 months, but it continued to work, and now my toenails are beautifully clear.  I would recommend it to anyone with the fungus on toenails."""
Depakote,Bipolar Disorder,1,"""My daughter is 12 years old and her Depakote was recently increased to 1,000 mg a day. Immediately I saw some harsh side effects. To begin with she has a very petite frame and dropped 9 pounds and now weighs 62 pounds. My daughter started vomiting with the high dose. She hasn't slept a normal nights sleep in a long time. She never wants to eat which has caused her dramatic weight loss. She experiences nausea, vomiting, irritability, and many more side effects. Depakote may be a life saver for some but this medication isn't for everyone."""
Orladeyo,Hereditary Angioedema,6,"""Orladeyo has been a very good option for me and has been doing as good of a job as expected against my severe, extremely stubborn heart attacks. I'm trying my best to give this medicine at least the full year to prove its worth. Let me say I'm getting more and more discouraged after yet another case of the worst stomach pains of my life after taking my daily dose. I had vomiting for almost 12 hours, the most serve stomach pains I've ever had. Now here I am on day 2 and I'm afraid to drink, eat, etc because my stomach is still sensitive, cramping, and having spasms and I'm so afraid to feel that worst pain again. I want to love this pill I do but I'm neutral right now."""
Ativan,Anxiety,10,"""It's very helpful."""
Otezla,Plaque Psoriasis,1,"""I was on this product for over a year.  It didn't help my plaque psoriasis at all.  The only positive was that it didn't cost me anything to take it and it had no negative side effects.  Not sure how this product even got approved.  I don't know anybody who has said it has even remotely been. effective."""
Methadone,Opiate Withdrawal,10,"""When administered properly by the Detox/Rehab program and taken right by the patient this drug is a God send. I was addicted to I.V. use of Morphine and its varieties such as Dilaudid. I have been clean for 3 years now and methadone has done wonders for me. I was at my peak on 120mg daily and now after several months of monitored decreases I am down to 9 mg daily and feel great. On the other side though, there are also a large number of people in the program who, while they can't get the high from morphine, replace it with cocaine. This is a common practice and the cause of many deaths. The use of methadone as a cessation aid is a two way street. There has to be equal work done by the client and the program."""
Buspar,Anxiety,8,"""Been on Buspar for 3 weeks. Weened off of lorazepam and using Buspar instead.  Big difference.  Started on 15mg 3 times a day. Then 30 mg 3 times a day.  Now experiencing muscle pain, upset stomach, bad taste in mouth. I think my dosage is to high. At 15mg no bad side effects. When I get dosage straightened out. I think this will be a fine medication for my anxiety problem."""
Votrient,Renal Cell Carcinoma,9,"""Update-tolerating Votrient 400mg. Last 2 scans status quo. Diarrhea controlled with immodium. Pattern of a couple good weeks followed by fatigue and general awful feeling. Medicinal marijuana has been a godsend for these bad times. Almost like setting a reset button both mentally and physically. Only do it when I feel awful and won't be leaving the house."""
Pregabalin,Diabetic Peripheral Neuropathy,7,"Lyrica (pregabalin)""My diabetes was in good control for two years before I started experiencing severe symptoms of peripheral neuropathy in my lower legs and feet. Lyrica has been a miracle drug for relief of the stabbing pain in my legs. However, it doesn't help much for the horrible burning in my feet. Also, 
I occasionally feel like I'm still walking on marbles. The nerve studies have concluded I'm getting it in my hands also. I've been fortunate that my side effects have been minimal. If it helped more with burning, I would rate it s 10."""
Venofer,Iron Deficiency Anemia,10,"""I had 1st of 5 Venofer Friday - 200 at a 1 hour drip. (My third course in 2 1/2 years.) Anemia prone family. Genetic tests gave no answers. I don't eat meat 
No problems with Venofer. I take 2 Benadryl b4 infusion and take 2 to 4 a day between infusions which are 7 days apart. 
Refuse Injectafer in my opinion they seem to be having court cases.
Keys for iron infusions: Pray ...Then 
*Slow drip - Minimum 1 hour
*Take only 200 each visit 
**Minimum 7 days between infusions 
*Take 2 Benedryl gel caps 30 minutes as soon as you sit down in chair. 
Let's get some energy!!!!
Blessings to all!"""
Apalutamide,Prostate Cancer,9,"Erleada (apalutamide)""Loss of body hair, loss of libido, falls, and ataxia were all significant.   BP unchanged. Did not have GI symptoms or weight loss.  
The cost is awful. Have had no evidence of an increase in PSA from undetectable since starting."""
Vasotec,Diabetic Kidney Disease,3,"""Had a continuing cough and had to stop taking."""
Humira,Rheumatoid Arthritis,9,"""At age 52 I began to experience symptoms (swelling, joint pain). After suffering for two months, I was diagnosed with rheumatoid arthritis in Feb, 2019. Was put on prednisone for a few weeks and then began weekly dose of methotrexate. After a few months of this treatment, my symptoms were slowly improving when my doctor decided to start me on Humira. I immediately began to feel better. Well enough to resume living my active lifestyle which includes running 40+ miles a week. Thankfully, any side effects have been minimal to date."""
Clarithromycin,Pneumonia,9,"""Went to the drs after picking up a bug on a long haul flight, which led to a bad chest infection. I was a total mess. How I walked to the drs I have no clue. Sat almost weeping in the waiting room, dribbling, coughing, choking. Dr checked me over and prescribed these glorious wonder pills. Felt absolutely dreadful (just from the infection/possible pneumonia) for three days. Lay in bed unable to move. But day three came and I could breathe again and even managed 3 hours at uni! The taste in my mouth in the morning is utterly appalling and feel nauseous half an hour after taking them for a bit but no other side effects. I still feel a bit rough, low energy and lingering cough and generally under the weather however I don't feel like I've been through ten rounds with Tyson and am drowning at the same time. Brilliant pills"""
Ciprofloxacin,Bacterial Infection,10,"""I was given this by a Mexican doctor after contracting a very nasty bacterial infection with severe diarrhea during a road trip down the Baja Peninsula in Mexico.  Worked great, and we were back on the road after one day."""
Celecoxib,Pain,2,"Celebrex (celecoxib)""It worked great for a week and the pain returned.  Tried switching up the time of day I took it but still didn’t work."""
Ciprofloxacin,Bacterial Infection,9,"Cipro (ciprofloxacin)""It really helped my husband's lung infection.  It was great!"""
Brimonidine,Eye Redness,10,"Lumify (brimonidine)""I have suffered so bad with red bloodshot eyes since I started using visine, they became so dependent on them & eventually didn’t work at all, just made my eyes so sore, I bought lumify eye drops from the US as this is the only place I could purchase them from, on line, as Australia doesn’t stock them, best eye drops I have ever ever purchased my eyes have stopped relying on visine & from 6 to 9 times a day of applying visine I only have to apply lumify once a day ❤️ This product"""
Flomax,Benign Prostatic Hyperplasia,6,"""Yes, there are side effects.. First couple of doses caused severe nausea (get Zofran from doc and take with Flomax for about 5days) also tiredness and light headedness.  I found improvement with taking the med about an hour before bedtime.  Symptoms much more tolerable. I think the only real sexual side effect was reduced erection.  If you can't pee and I couldn't due to taking testosterone, which caused BPH.  I took saw palmetto successfully for 3 years then had to stop for surgery. Saw palmetto did not work once I resumed."""
Citalopram,Anxiety and Stress,1,"Celexa (citalopram)""I was put on this medicine after anxiety issues. It made things so bad that I was havin severe anxiety attacks was constantly jittery and unable to concentrate. I had severe hot flashes made my heart race like crazy and lots of chest pain. I discontinued after 3 doses of 10 mg after 3 days."""
Clarithromycin,Mycoplasma Pneumonia,1,"""Was meant to be on penicillin but the hospital changed my antibiotic 5 mins before I left because they found mycoplasma in my throat (they didn't really know what was wrong with me tbh). My symptoms are spot on to  a so I'm leaning towards that as what I have (its certainly not tonsilitis or 'stress' which they tried to fob me off with). I have taken 4 of these clarithromycin and I think they may be the devil in pill form. I have had nothing but shortness of breath, stomach cramps, vomiting and diarrhoea since. Apparently they are common side effects, but this seems ridiculous. I felt better of with just the pneumonia than with being on these!"""
Amitriptyline,Migraine PreventionOff-label,7,"""it wasnt til last year my sophomore year i finally just couldnt take the headaches, they got soo bad i had to go to the doctor and they prescribed me amitriptyline. Let me say they started off as a miracle worker and definetely recommend it to prevent it. But it does has its side affects, i am suffering from depression , panic attacks , suicidal thoughts and makes me feel so tired and sleepy its not funny. Im a junior now in highschool , my hardest and most important year and i kinda hate that i took and am taking amitriptyline. I cant take this med anymore. My grades are so bad right now because i can never stay focus at school and feel so damm tired i dont want to do anything.cant concetrate, i act different now and i dont feel myelf."""
Sertraline,Depression,8,"""I started on 10mg off citalopram when I was 16, they had zero effect so they upped me to 20mg of fluoxetine which made my severe depression worse, my brother was also prescribed fluoxetine and we both experience and major increase in suicidal thoughts whilst on them so I went back to the doctor. He then prescribed me with sertraline 50mg. The first few weeks of taking them were a nightmare, I'd wake up and take the tablet with my breakfast and I'd finds myelf being exhausted all then time and then I'd struggle to sleep at night.  My partners mum is on sertraline 100mg and she said that the best thing to do is take them half an hour before you go to bed because the tiredness  effect doesn't take long to kick in. Now I feel a lot happier"""
Biktarvy,HIV Infection,6,"""I have used Biktarvy for approximately 2 years. The first year it was well received, then I monitored for the past year and I have found it to cause diarrhea (my conclusion only). I continue to take and monitor and seek more medical advice."""
